# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 4.000000e+01
# lRef       : 1.000000e+00
# Aref       : 1.000000e+00
# CofR       : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
31           	3.779344e-01	4.155412e-01	2.275725e+00	1.515797e+00	7.599281e-01
32           	3.897443e-01	3.939201e-01	2.300436e+00	1.539962e+00	7.604736e-01
33           	3.755688e-01	3.694610e-01	2.220613e+00	1.485875e+00	7.347379e-01
34           	3.441920e-01	3.421585e-01	2.078147e+00	1.383265e+00	6.948814e-01
35           	3.182793e-01	3.132421e-01	1.956604e+00	1.296581e+00	6.600227e-01
36           	3.144633e-01	2.848978e-01	1.914407e+00	1.271667e+00	6.427400e-01
37           	3.329455e-01	2.580191e-01	1.952847e+00	1.309369e+00	6.434777e-01
38           	3.603923e-01	2.322124e-01	2.029660e+00	1.375222e+00	6.544375e-01
39           	3.786790e-01	1.893723e-01	2.083964e+00	1.420661e+00	6.633032e-01
40           	3.781870e-01	1.699541e-01	2.091122e+00	1.423748e+00	6.673740e-01
41           	3.611793e-01	1.410915e-01	2.048174e+00	1.385266e+00	6.629078e-01
42           	3.337391e-01	1.187986e-01	1.971267e+00	1.319372e+00	6.518941e-01
43           	3.079362e-01	1.089483e-01	1.895476e+00	1.255674e+00	6.398017e-01
44           	2.928083e-01	9.112381e-02	1.841087e+00	1.213352e+00	6.277352e-01
45           	2.884036e-01	7.173988e-02	1.812048e+00	1.194428e+00	6.176205e-01
46           	2.927694e-01	5.905991e-02	1.811298e+00	1.198418e+00	6.128794e-01
47           	3.009517e-01	3.791827e-02	1.824622e+00	1.213262e+00	6.113590e-01
48           	3.073105e-01	1.836630e-02	1.841494e+00	1.228057e+00	6.134363e-01
49           	3.072112e-01	9.415289e-03	1.847652e+00	1.231037e+00	6.166149e-01
50           	3.023359e-01	1.812806e-03	1.842885e+00	1.223779e+00	6.191068e-01
51           	2.928061e-01	-1.321099e-02	1.820899e+00	1.203255e+00	6.176431e-01
52           	2.844909e-01	-2.112762e-02	1.795185e+00	1.182083e+00	6.131015e-01
53           	2.784836e-01	-2.859211e-02	1.767028e+00	1.161998e+00	6.050306e-01
54           	2.761768e-01	-3.535008e-02	1.741699e+00	1.147026e+00	5.946728e-01
55           	2.782900e-01	-4.117766e-02	1.724868e+00	1.140724e+00	5.841438e-01
56           	2.843527e-01	-4.592301e-02	1.720143e+00	1.144424e+00	5.757188e-01
57           	2.925370e-01	-4.986784e-02	1.725866e+00	1.155470e+00	5.703962e-01
58           	3.003104e-01	-5.364757e-02	1.734777e+00	1.167699e+00	5.670783e-01
59           	3.059394e-01	-5.782496e-02	1.738991e+00	1.175435e+00	5.635560e-01
60           	3.089006e-01	-6.249224e-02	1.732857e+00	1.175329e+00	5.575280e-01
61           	3.092595e-01	-6.718365e-02	1.713967e+00	1.166243e+00	5.477241e-01
62           	3.076272e-01	-7.114274e-02	1.683592e+00	1.149423e+00	5.341687e-01
63           	3.050092e-01	-7.352448e-02	1.646815e+00	1.128417e+00	5.183982e-01
64           	3.024133e-01	-7.399145e-02	1.609710e+00	1.107268e+00	5.024415e-01
65           	3.001010e-01	-7.295245e-02	1.575062e+00	1.087632e+00	4.874301e-01
66           	2.976472e-01	-7.127063e-02	1.542142e+00	1.068718e+00	4.734239e-01
67           	2.940214e-01	-6.937097e-02	1.507969e+00	1.048006e+00	4.599629e-01
68           	2.882563e-01	-6.756525e-02	1.470063e+00	1.023288e+00	4.467754e-01
69           	2.802738e-01	-6.571227e-02	1.429065e+00	9.948062e-01	4.342586e-01
70           	2.709517e-01	-6.333145e-02	1.387892e+00	9.648976e-01	4.229942e-01
71           	2.613265e-01	-6.013992e-02	1.349067e+00	9.358602e-01	4.132071e-01
72           	2.522856e-01	-5.601396e-02	1.315013e+00	9.097919e-01	4.052207e-01
73           	2.441199e-01	-4.804591e-02	1.286792e+00	8.875160e-01	3.992762e-01
74           	2.378764e-01	-4.258585e-02	1.267073e+00	8.714128e-01	3.956599e-01
75           	2.325299e-01	-3.698506e-02	1.252721e+00	8.588902e-01	3.938305e-01
76           	2.305739e-01	-3.262866e-02	1.250223e+00	8.556856e-01	3.945378e-01
77           	2.332430e-01	-2.765006e-02	1.271949e+00	8.692176e-01	4.027317e-01
78           	2.423920e-01	-2.318636e-02	1.325913e+00	9.053484e-01	4.205645e-01
79           	2.558389e-01	-1.949866e-02	1.400485e+00	9.560814e-01	4.444036e-01
80           	2.669693e-01	-1.559902e-02	1.466057e+00	9.999975e-01	4.660590e-01
81           	2.713464e-01	-1.042845e-02	1.503564e+00	1.023129e+00	4.804358e-01
82           	2.699431e-01	-3.763857e-03	1.516762e+00	1.028324e+00	4.884379e-01
83           	2.660865e-01	4.183924e-03	1.519620e+00	1.025897e+00	4.937236e-01
84           	2.635372e-01	1.689919e-02	1.525132e+00	1.026103e+00	4.990290e-01
85           	2.650486e-01	2.384349e-02	1.544171e+00	1.037134e+00	5.070366e-01
86           	2.712032e-01	2.775406e-02	1.576744e+00	1.059575e+00	5.171687e-01
87           	2.801422e-01	2.991646e-02	1.619022e+00	1.089653e+00	5.293689e-01
88           	2.881843e-01	3.194017e-02	1.660217e+00	1.118293e+00	5.419243e-01
89           	2.919629e-01	3.497477e-02	1.688551e+00	1.136239e+00	5.523128e-01
90           	2.909448e-01	3.922556e-02	1.699470e+00	1.140680e+00	5.587904e-01
91           	2.872763e-01	4.901271e-02	1.697106e+00	1.135829e+00	5.612765e-01
92           	2.838941e-01	5.324909e-02	1.689946e+00	1.128867e+00	5.610791e-01
93           	2.827645e-01	5.913430e-02	1.685231e+00	1.125380e+00	5.598509e-01
94           	2.848118e-01	6.008488e-02	1.687469e+00	1.128546e+00	5.589228e-01
95           	2.892458e-01	5.984405e-02	1.697574e+00	1.138033e+00	5.595412e-01
96           	2.946692e-01	5.935141e-02	1.714013e+00	1.151676e+00	5.623374e-01
97           	2.992764e-01	5.903436e-02	1.731677e+00	1.165115e+00	5.665620e-01
98           	3.016010e-01	6.089262e-02	1.743915e+00	1.173558e+00	5.703563e-01
99           	3.014950e-01	6.173426e-02	1.745739e+00	1.174365e+00	5.713747e-01
100          	3.003028e-01	6.133590e-02	1.739775e+00	1.170190e+00	5.695845e-01
101          	2.989222e-01	5.958030e-02	1.728316e+00	1.163080e+00	5.652359e-01
102          	2.979090e-01	5.759862e-02	1.713766e+00	1.154792e+00	5.589742e-01
103          	2.975490e-01	5.582538e-02	1.700802e+00	1.147950e+00	5.528518e-01
104          	2.975262e-01	5.416254e-02	1.691904e+00	1.143478e+00	5.484260e-01
105          	2.972640e-01	5.224291e-02	1.685919e+00	1.140224e+00	5.456956e-01
106          	2.963448e-01	4.972018e-02	1.680151e+00	1.136421e+00	5.437308e-01
107          	2.946044e-01	4.647427e-02	1.672088e+00	1.130648e+00	5.414396e-01
108          	2.921571e-01	4.278849e-02	1.660456e+00	1.122385e+00	5.380710e-01
109          	2.895563e-01	3.626256e-02	1.646081e+00	1.112597e+00	5.334844e-01
110          	2.866353e-01	3.288686e-02	1.629988e+00	1.101629e+00	5.283589e-01
111          	2.839883e-01	2.831093e-02	1.615541e+00	1.091759e+00	5.237819e-01
112          	2.814016e-01	2.653998e-02	1.603640e+00	1.083222e+00	5.204185e-01
113          	2.789352e-01	2.325597e-02	1.594126e+00	1.075998e+00	5.181279e-01
114          	2.766794e-01	2.151669e-02	1.587482e+00	1.070420e+00	5.170614e-01
115          	2.745327e-01	1.774342e-02	1.581927e+00	1.065496e+00	5.164307e-01
116          	2.727133e-01	1.395954e-02	1.577699e+00	1.061563e+00	5.161363e-01
117          	2.715140e-01	1.198357e-02	1.575541e+00	1.059285e+00	5.162565e-01
118          	2.706854e-01	9.070101e-03	1.574441e+00	1.057906e+00	5.165350e-01
119          	2.703616e-01	7.747332e-03	1.574853e+00	1.057788e+00	5.170649e-01
120          	2.704213e-01	6.697604e-03	1.576538e+00	1.058690e+00	5.178478e-01
121          	2.709395e-01	5.706156e-03	1.579591e+00	1.060735e+00	5.188561e-01
122          	2.719560e-01	3.083184e-03	1.583568e+00	1.063740e+00	5.198277e-01
123          	2.732003e-01	1.980685e-03	1.588111e+00	1.067256e+00	5.208551e-01
124          	2.745335e-01	1.377094e-03	1.592890e+00	1.070978e+00	5.219115e-01
125          	2.758052e-01	1.094641e-03	1.597342e+00	1.074476e+00	5.228659e-01
126          	2.769459e-01	3.449078e-04	1.600832e+00	1.077362e+00	5.234701e-01
127          	2.779008e-01	4.366911e-05	1.603153e+00	1.079477e+00	5.236757e-01
128          	2.787754e-01	-2.031196e-04	1.604445e+00	1.080998e+00	5.234469e-01
129          	2.796225e-01	-3.843567e-04	1.604677e+00	1.081961e+00	5.227158e-01
130          	2.803547e-01	-4.620991e-04	1.603449e+00	1.082079e+00	5.213700e-01
131          	2.807264e-01	-3.817221e-04	1.600064e+00	1.080758e+00	5.193056e-01
132          	2.803982e-01	-9.662405e-05	1.593875e+00	1.077336e+00	5.165395e-01
133          	2.791497e-01	4.101885e-04	1.584917e+00	1.071608e+00	5.133086e-01
134          	2.774486e-01	1.955982e-03	1.576260e+00	1.065579e+00	5.106813e-01
135          	2.756083e-01	3.264140e-03	1.567812e+00	1.059515e+00	5.082979e-01
136          	2.740354e-01	3.679315e-03	1.560020e+00	1.054046e+00	5.059748e-01
137          	2.731058e-01	3.802474e-03	1.554155e+00	1.050183e+00	5.039718e-01
138          	2.726140e-01	4.364991e-03	1.549854e+00	1.047541e+00	5.023132e-01
139          	2.721826e-01	4.874568e-03	1.545808e+00	1.045087e+00	5.007215e-01
140          	2.715097e-01	5.677981e-03	1.541484e+00	1.042252e+00	4.992325e-01
141          	2.704387e-01	6.747177e-03	1.536622e+00	1.038750e+00	4.978725e-01
142          	2.690195e-01	7.989374e-03	1.531475e+00	1.034757e+00	4.967179e-01
143          	2.674816e-01	9.284580e-03	1.526706e+00	1.030834e+00	4.958712e-01
144          	2.661262e-01	1.051708e-02	1.523087e+00	1.027670e+00	4.954175e-01
145          	2.651859e-01	1.160733e-02	1.521156e+00	1.025764e+00	4.953922e-01
146          	2.647526e-01	1.252431e-02	1.521092e+00	1.025299e+00	4.957933e-01
147          	2.648107e-01	1.326740e-02	1.522857e+00	1.026239e+00	4.966180e-01
148          	2.652642e-01	1.455157e-02	1.526369e+00	1.028448e+00	4.979201e-01
149          	2.660153e-01	1.491154e-02	1.530935e+00	1.031483e+00	4.994522e-01
150          	2.668937e-01	1.493564e-02	1.536098e+00	1.034943e+00	5.011551e-01
151          	2.677549e-01	1.482538e-02	1.541478e+00	1.038494e+00	5.029844e-01
152          	2.685248e-01	1.479321e-02	1.546935e+00	1.041992e+00	5.049427e-01
153          	2.692267e-01	1.494053e-02	1.552547e+00	1.045500e+00	5.070470e-01
154          	2.699488e-01	1.523575e-02	1.558450e+00	1.049174e+00	5.092761e-01
155          	2.707848e-01	1.557481e-02	1.564665e+00	1.053118e+00	5.115479e-01
156          	2.717830e-01	1.586198e-02	1.571087e+00	1.057326e+00	5.137604e-01
157          	2.729244e-01	1.605680e-02	1.577544e+00	1.061696e+00	5.158474e-01
158          	2.741348e-01	1.617112e-02	1.583849e+00	1.066059e+00	5.177899e-01
159          	2.753220e-01	1.624090e-02	1.589840e+00	1.070242e+00	5.195979e-01
160          	2.764175e-01	1.629927e-02	1.595409e+00	1.074122e+00	5.212869e-01
161          	2.773952e-01	1.636338e-02	1.600498e+00	1.077644e+00	5.228536e-01
162          	2.782675e-01	1.643433e-02	1.605081e+00	1.080808e+00	5.242727e-01
163          	2.790600e-01	1.650419e-02	1.609123e+00	1.083622e+00	5.255016e-01
164          	2.797880e-01	1.656247e-02	1.612566e+00	1.086071e+00	5.264951e-01
165          	2.804463e-01	1.659961e-02	1.615334e+00	1.088113e+00	5.272205e-01
166          	2.810000e-01	1.722463e-02	1.617443e+00	1.089721e+00	5.277214e-01
167          	2.814185e-01	1.718284e-02	1.618556e+00	1.090697e+00	5.278595e-01
168          	2.817261e-01	1.692877e-02	1.618852e+00	1.091152e+00	5.277001e-01
169          	2.818927e-01	1.656671e-02	1.618381e+00	1.091083e+00	5.272979e-01
170          	2.818880e-01	1.621425e-02	1.617226e+00	1.090501e+00	5.267250e-01
171          	2.816971e-01	1.593665e-02	1.615481e+00	1.089438e+00	5.260436e-01
172          	2.813334e-01	1.572806e-02	1.613241e+00	1.087954e+00	5.252871e-01
173          	2.808348e-01	1.554133e-02	1.610594e+00	1.086132e+00	5.244624e-01
174          	2.802520e-01	1.532923e-02	1.607638e+00	1.084071e+00	5.235672e-01
175          	2.796377e-01	1.506801e-02	1.604500e+00	1.081888e+00	5.226125e-01
176          	2.790385e-01	1.475907e-02	1.601350e+00	1.079713e+00	5.216363e-01
177          	2.784834e-01	1.441735e-02	1.598359e+00	1.077663e+00	5.206962e-01
178          	2.779761e-01	1.405890e-02	1.595640e+00	1.075796e+00	5.198438e-01
179          	2.774998e-01	1.369577e-02	1.593207e+00	1.074104e+00	5.191038e-01
180          	2.770336e-01	1.333663e-02	1.591006e+00	1.072537e+00	5.184692e-01
181          	2.765689e-01	1.299370e-02	1.588995e+00	1.071066e+00	5.179284e-01
182          	2.761150e-01	1.267714e-02	1.587162e+00	1.069696e+00	5.174662e-01
183          	2.756977e-01	1.239216e-02	1.585540e+00	1.068468e+00	5.170722e-01
184          	2.753782e-01	1.174271e-02	1.584197e+00	1.067477e+00	5.167203e-01
185          	2.751351e-01	1.151919e-02	1.583246e+00	1.066758e+00	5.164879e-01
186          	2.749784e-01	1.142534e-02	1.582687e+00	1.066322e+00	5.163650e-01
187          	2.748960e-01	1.138783e-02	1.582435e+00	1.066114e+00	5.163215e-01
188          	2.748935e-01	1.104474e-02	1.582360e+00	1.066073e+00	5.162865e-01
189          	2.749263e-01	1.089979e-02	1.582396e+00	1.066124e+00	5.162717e-01
190          	2.749714e-01	1.077217e-02	1.582438e+00	1.066190e+00	5.162477e-01
191          	2.750171e-01	1.046768e-02	1.582408e+00	1.066221e+00	5.161867e-01
192          	2.750348e-01	1.035225e-02	1.582305e+00	1.066187e+00	5.161176e-01
193          	2.750364e-01	1.016381e-02	1.582096e+00	1.066084e+00	5.160117e-01
194          	2.750201e-01	1.010425e-02	1.581850e+00	1.065945e+00	5.159050e-01
195          	2.749964e-01	1.006625e-02	1.581527e+00	1.065760e+00	5.157670e-01
196          	2.749684e-01	1.002822e-02	1.581098e+00	1.065517e+00	5.155807e-01
197          	2.749339e-01	9.978618e-03	1.580545e+00	1.065206e+00	5.153384e-01
198          	2.748835e-01	9.920336e-03	1.579860e+00	1.064814e+00	5.150467e-01
199          	2.748074e-01	9.868212e-03	1.579082e+00	1.064349e+00	5.147338e-01
200          	2.747055e-01	9.837288e-03	1.578283e+00	1.063847e+00	5.144362e-01
201          	2.745888e-01	9.833558e-03	1.577531e+00	1.063354e+00	5.141767e-01
202          	2.744723e-01	9.854747e-03	1.576856e+00	1.062900e+00	5.139556e-01
203          	2.743670e-01	9.896022e-03	1.576252e+00	1.062493e+00	5.137589e-01
204          	2.742675e-01	1.000667e-02	1.575654e+00	1.062095e+00	5.135598e-01
205          	2.741914e-01	1.012070e-02	1.575119e+00	1.061751e+00	5.133682e-01
206          	2.741430e-01	1.018351e-02	1.574668e+00	1.061477e+00	5.131911e-01
207          	2.741045e-01	1.023702e-02	1.574237e+00	1.061223e+00	5.130140e-01
208          	2.740694e-01	1.029237e-02	1.573844e+00	1.060992e+00	5.128529e-01
209          	2.740359e-01	1.035856e-02	1.573530e+00	1.060801e+00	5.127291e-01
210          	2.740077e-01	1.043694e-02	1.573334e+00	1.060675e+00	5.126591e-01
211          	2.739953e-01	1.052019e-02	1.573294e+00	1.060642e+00	5.126517e-01
212          	2.740049e-01	1.069277e-02	1.573441e+00	1.060725e+00	5.127155e-01
213          	2.740484e-01	1.075782e-02	1.573722e+00	1.060910e+00	5.128128e-01
214          	2.741247e-01	1.083790e-02	1.574137e+00	1.061193e+00	5.129436e-01
215          	2.742117e-01	1.084034e-02	1.574556e+00	1.061490e+00	5.130666e-01
216          	2.742912e-01	1.084468e-02	1.574963e+00	1.061773e+00	5.131903e-01
217          	2.743525e-01	1.091196e-02	1.575377e+00	1.062041e+00	5.133359e-01
218          	2.743947e-01	1.096955e-02	1.575796e+00	1.062293e+00	5.135032e-01
219          	2.744348e-01	1.103459e-02	1.576293e+00	1.062581e+00	5.137117e-01
220          	2.744917e-01	1.109795e-02	1.576917e+00	1.062950e+00	5.139667e-01
221          	2.745786e-01	1.115586e-02	1.577674e+00	1.063416e+00	5.142584e-01
222          	2.746946e-01	1.120938e-02	1.578518e+00	1.063954e+00	5.145646e-01
223          	2.748267e-01	1.126154e-02	1.579382e+00	1.064518e+00	5.148641e-01
224          	2.749602e-01	1.131463e-02	1.580219e+00	1.065070e+00	5.151490e-01
225          	2.750872e-01	1.136902e-02	1.581023e+00	1.065599e+00	5.154242e-01
226          	2.752076e-01	1.142318e-02	1.581810e+00	1.066113e+00	5.156974e-01
227          	2.753270e-01	1.147458e-02	1.582597e+00	1.066626e+00	5.159715e-01
228          	2.754512e-01	1.152070e-02	1.583386e+00	1.067144e+00	5.162416e-01
229          	2.755821e-01	1.156009e-02	1.584160e+00	1.067662e+00	5.164980e-01
230          	2.757169e-01	1.159251e-02	1.584896e+00	1.068165e+00	5.167309e-01
231          	2.758492e-01	1.161852e-02	1.585567e+00	1.068633e+00	5.169341e-01
232          	2.759603e-01	1.173640e-02	1.586124e+00	1.069022e+00	5.171019e-01
233          	2.760679e-01	1.174869e-02	1.586607e+00	1.069371e+00	5.172355e-01
234          	2.761606e-01	1.172719e-02	1.586972e+00	1.069646e+00	5.173252e-01
235          	2.762359e-01	1.169000e-02	1.587228e+00	1.069850e+00	5.173782e-01
236          	2.762902e-01	1.165673e-02	1.587385e+00	1.069983e+00	5.174024e-01
237          	2.763203e-01	1.163692e-02	1.587445e+00	1.070043e+00	5.174023e-01
238          	2.763288e-01	1.162689e-02	1.587416e+00	1.070037e+00	5.173794e-01
239          	2.763166e-01	1.161753e-02	1.587293e+00	1.069963e+00	5.173300e-01
240          	2.762838e-01	1.160096e-02	1.587069e+00	1.069818e+00	5.172505e-01
241          	2.762316e-01	1.157342e-02	1.586742e+00	1.069603e+00	5.171394e-01
242          	2.761597e-01	1.157873e-02	1.586326e+00	1.069323e+00	5.170032e-01
243          	2.760822e-01	1.152520e-02	1.585863e+00	1.069014e+00	5.168491e-01
244          	2.760031e-01	1.146014e-02	1.585389e+00	1.068697e+00	5.166913e-01
245          	2.759282e-01	1.139366e-02	1.584947e+00	1.068402e+00	5.165452e-01
246          	2.758591e-01	1.133127e-02	1.584553e+00	1.068136e+00	5.164174e-01
247          	2.757928e-01	1.127307e-02	1.584193e+00	1.067889e+00	5.163037e-01
248          	2.757252e-01	1.121674e-02	1.583842e+00	1.067646e+00	5.161959e-01
249          	2.756538e-01	1.116056e-02	1.583482e+00	1.067395e+00	5.160871e-01
250          	2.755798e-01	1.110452e-02	1.583112e+00	1.067136e+00	5.159761e-01
251          	2.755078e-01	1.104956e-02	1.582749e+00	1.066883e+00	5.158668e-01
252          	2.754527e-01	1.093281e-02	1.582445e+00	1.066675e+00	5.157699e-01
253          	2.753982e-01	1.088124e-02	1.582160e+00	1.066478e+00	5.156819e-01
254          	2.753525e-01	1.084973e-02	1.581936e+00	1.066320e+00	5.156154e-01
255          	2.753165e-01	1.082473e-02	1.581764e+00	1.066198e+00	5.155654e-01
256          	2.752946e-01	1.073676e-02	1.581632e+00	1.066111e+00	5.155213e-01
257          	2.752759e-01	1.069085e-02	1.581511e+00	1.066031e+00	5.154795e-01
258          	2.752689e-01	1.066677e-02	1.581468e+00	1.066003e+00	5.154653e-01
259          	2.752438e-01	1.062381e-02	1.581304e+00	1.065896e+00	5.154082e-01
260          	2.752209e-01	1.053464e-02	1.581138e+00	1.065790e+00	5.153479e-01
261          	2.752000e-01	1.049742e-02	1.580997e+00	1.065698e+00	5.152983e-01
262          	2.751954e-01	1.048608e-02	1.580971e+00	1.065681e+00	5.152902e-01
263          	2.751891e-01	1.046811e-02	1.580913e+00	1.065645e+00	5.152672e-01
264          	2.751878e-01	1.044978e-02	1.580869e+00	1.065622e+00	5.152469e-01
265          	2.751903e-01	1.039876e-02	1.580823e+00	1.065602e+00	5.152211e-01
266          	2.751905e-01	1.039055e-02	1.580809e+00	1.065595e+00	5.152142e-01
267          	2.751914e-01	1.035988e-02	1.580749e+00	1.065566e+00	5.151830e-01
268          	2.751882e-01	1.035184e-02	1.580686e+00	1.065531e+00	5.151548e-01
269          	2.751815e-01	1.035428e-02	1.580621e+00	1.065492e+00	5.151289e-01
270          	2.751744e-01	1.036143e-02	1.580563e+00	1.065456e+00	5.151072e-01
271          	2.751700e-01	1.036838e-02	1.580521e+00	1.065430e+00	5.150903e-01
272          	2.751701e-01	1.037323e-02	1.580495e+00	1.065418e+00	5.150774e-01
273          	2.751748e-01	1.037668e-02	1.580485e+00	1.065417e+00	5.150676e-01
274          	2.751840e-01	1.038551e-02	1.580487e+00	1.065428e+00	5.150595e-01
275          	2.751946e-01	1.039693e-02	1.580496e+00	1.065443e+00	5.150536e-01
276          	2.752040e-01	1.041028e-02	1.580505e+00	1.065457e+00	5.150487e-01
277          	2.752105e-01	1.042472e-02	1.580510e+00	1.065466e+00	5.150445e-01
278          	2.752144e-01	1.043987e-02	1.580512e+00	1.065470e+00	5.150413e-01
279          	2.752169e-01	1.045577e-02	1.580515e+00	1.065475e+00	5.150407e-01
280          	2.752198e-01	1.047264e-02	1.580528e+00	1.065484e+00	5.150442e-01
281          	2.752248e-01	1.049055e-02	1.580556e+00	1.065503e+00	5.150531e-01
282          	2.752326e-01	1.050923e-02	1.580601e+00	1.065533e+00	5.150677e-01
283          	2.752420e-01	1.052265e-02	1.580654e+00	1.065569e+00	5.150849e-01
284          	2.752532e-01	1.053666e-02	1.580720e+00	1.065613e+00	5.151070e-01
285          	2.752643e-01	1.056172e-02	1.580797e+00	1.065663e+00	5.151342e-01
286          	2.752751e-01	1.057922e-02	1.580878e+00	1.065714e+00	5.151639e-01
287          	2.752854e-01	1.059485e-02	1.580960e+00	1.065766e+00	5.151949e-01
288          	2.752957e-01	1.060939e-02	1.581047e+00	1.065819e+00	5.152277e-01
289          	2.753072e-01	1.062416e-02	1.581142e+00	1.065878e+00	5.152639e-01
290          	2.753202e-01	1.063974e-02	1.581248e+00	1.065944e+00	5.153038e-01
291          	2.753351e-01	1.065561e-02	1.581364e+00	1.066017e+00	5.153467e-01
292          	2.753475e-01	1.068404e-02	1.581462e+00	1.066079e+00	5.153837e-01
293          	2.753667e-01	1.069810e-02	1.581597e+00	1.066165e+00	5.154316e-01
294          	2.753876e-01	1.070540e-02	1.581729e+00	1.066252e+00	5.154770e-01
295          	2.753948e-01	1.070814e-02	1.581774e+00	1.066282e+00	5.154921e-01
296          	2.754231e-01	1.071296e-02	1.581942e+00	1.066394e+00	5.155480e-01
297          	2.754520e-01	1.071961e-02	1.582113e+00	1.066509e+00	5.156047e-01
298          	2.754756e-01	1.072746e-02	1.582254e+00	1.066603e+00	5.156513e-01
299          	2.754811e-01	1.073174e-02	1.582289e+00	1.066626e+00	5.156633e-01
300          	2.754966e-01	1.074022e-02	1.582385e+00	1.066689e+00	5.156960e-01
301          	2.755113e-01	1.074598e-02	1.582472e+00	1.066747e+00	5.157246e-01
302          	2.755250e-01	1.074831e-02	1.582545e+00	1.066798e+00	5.157475e-01
303          	2.755363e-01	1.076013e-02	1.582602e+00	1.066837e+00	5.157648e-01
304          	2.755459e-01	1.075817e-02	1.582641e+00	1.066867e+00	5.157747e-01
305          	2.755533e-01	1.075208e-02	1.582663e+00	1.066885e+00	5.157783e-01
306          	2.755590e-01	1.074379e-02	1.582673e+00	1.066895e+00	5.157775e-01
307          	2.755623e-01	1.073546e-02	1.582672e+00	1.066898e+00	5.157738e-01
308          	2.755631e-01	1.072823e-02	1.582662e+00	1.066894e+00	5.157682e-01
309          	2.755612e-01	1.072200e-02	1.582644e+00	1.066883e+00	5.157608e-01
310          	2.755569e-01	1.071595e-02	1.582616e+00	1.066865e+00	5.157509e-01
311          	2.755500e-01	1.070929e-02	1.582574e+00	1.066837e+00	5.157372e-01
312          	2.755406e-01	1.070164e-02	1.582518e+00	1.066800e+00	5.157185e-01
313          	2.755292e-01	1.069311e-02	1.582449e+00	1.066754e+00	5.156952e-01
